,country_code,latitude,longitude,Country,Value
0,AR,-38.416097,-63.616672,Argentina,26872
1,AT,47.516231,14.550072,Austria,94052
2,AU,-25.274398,133.775136,Australia,181386
3,AW,12.52111,-69.968338,Aruba,6718
4,BA,43.915886,17.679076,Bosnia and Herzegovina,13436
5,BB,13.193887,-59.543198,Barbados,6718
6,BE,50.503887,4.469936,Belgium,47026
7,BG,42.733883,25.48583,Bulgaria,20154
8,BR,-14.235004,-51.92528,Brazil,174668
9,BY,53.709807,27.953389,Belarus,33590
10,CA,56.130366,-106.346771,Canada,268720
11,CH,46.818188,8.227512,Switzerland,47026
12,CL,-35.675147,-71.542969,Chile,26872
13,CN,35.86166,104.195397,China,927084
14,CO,4.570868,-74.297333,Colombia,6718
15,CZ,49.817492,15.472962,Czech Republic,87334
16,DE,51.165691,10.451526,Germany,671800
17,DK,56.26392,9.501785,Denmark,94052
18,DO,18.735693,-70.162651,Dominican Republic,6718
19,EE,58.595272,25.013607,Estonia,20154
20,ES,40.463667,-3.74922,Spain,194822
21,FI,61.92411,25.748151,Finland,127642
22,FR,46.227638,2.213749,France,167950
23,GA,-0.803689,11.609444,Gabon,6718
24,GB,55.378051,-3.435973,United Kingdom,362772
25,GN,9.945587,-9.696645,Guinea,6718
26,GR,39.074208,21.824312,Greece,53744
27,GU,13.444304,144.793731,Guam,6718
28,GY,4.860416,-58.93018,Guyana,6718
29,HK,22.396428,114.109497,Hong Kong,47026
30,HN,15.199999,-86.241905,Honduras,6718
31,HR,45.1,15.2,Croatia,13436
32,HU,47.162494,19.503304,Hungary,87334
33,ID,-0.789275,113.921327,Indonesia,33590
34,IE,53.41291,-8.24389,Ireland,40308
35,IL,31.046051,34.851612,Israel,40308
36,IM,54.236107,-4.548056,Isle of Man,13436
37,IN,20.593684,78.96288,India,20154
38,IS,64.963051,-19.020835,Iceland,13436
39,IT,41.87194,12.56738,Italy,94052
40,JO,30.585164,36.238414,Jordan,6718
41,JP,36.204824,138.252924,Japan,329182
42,KR,35.907757,127.766922,South Korea,456824
43,KZ,48.019573,66.923684,Kazakhstan,13436
44,LB,33.854721,35.862285,Lebanon,6718
45,LT,55.169438,23.881275,Lithuania,6718
46,LU,49.815273,6.129583,Luxembourg,6718
47,LV,56.879635,24.603189,Latvia,20154
48,MH,7.131474,171.184478,Marshall Islands,6718
49,MO,22.198745,113.543873,Macau,6718
50,MS,16.742498,-62.187366,Montserrat,6718
51,MT,35.937496,14.375416,Malta,6718
52,MV,3.202778,73.22068,Maldives,6718
53,MX,23.634501,-102.552784,Mexico,40308
54,MY,4.210484,101.975766,Malaysia,20154
55,NG,9.081999,8.675277,Nigeria,6718
56,NL,52.132633,5.291266,Netherlands,127642
57,NO,60.472024,8.468946,Norway,53744
58,NZ,-40.900557,174.885971,New Zealand,60462
59,PE,-9.189967,-75.015152,Peru,13436
60,PH,12.879721,121.774017,Philippines,20154
61,PL,51.919438,19.145136,Poland,315746
62,PT,39.399872,-8.224454,Portugal,87334
63,QA,25.354826,51.183884,Qatar,13436
64,RO,45.943161,24.96676,Romania,73898
65,RS,44.016521,21.005859,Serbia,33590
66,RU,61.52401,105.318756,Russia,470260
67,SE,60.128161,18.643501,Sweden,67180
68,SG,1.352083,103.819836,Singapore,20154
69,SI,46.151241,14.995463,Slovenia,13436
70,SK,48.669026,19.699024,Slovakia,33590
71,SO,5.152149,46.199616,Somalia,6718
72,TH,15.870032,100.992541,Thailand,40308
73,TR,38.963745,35.243322,Turkey,67180
74,TW,23.69781,120.960515,Taiwan,80616
75,UA,48.379433,31.16558,Ukraine,100770
76,US,37.09024,-95.712891,United States,1390626
77,UY,-32.522779,-55.765835,Uruguay,6718
78,VA,41.902916,12.453389,Vatican City,13436
79,VN,14.058324,108.277199,Vietnam,26872
80,ZA,-30.559482,22.937506,South Africa,6718
